Title,Rating,Price,Price_Anterior,Votante,Demanda
"Coolby Laptop con Windows 11 2023, pantalla IPS de 15.6 pulgadas, pantalla IPS de 1920 x 1080, 12 GB DDR4 RAM / 256 GB SSD, procesador Intel J4125 Quad-Core, compatible con WiFi de 2.4G/5G, BT, teclado de tamaño completo",4.4,US$319.00,,(28),
"HP Laptop HD de 14 pulgadas, Intel Celeron N4020 hasta 2.8 GHz, DDR4 de 4 GB, almacenamiento eMMC de 64 GB, WiFi 5, cámara web, HDMI, Windows 10 S/accesorios legendarios (compatible con Google Classroom o Zoom) (azul)",4.5,US$299.99,,"(2,587)",
"HP [Windows 11 Pro] 15 15.6"" Full HD Business Laptop, AMD 6-Core Ryzen 5 5500U (Beat i7-1160G7), 12GB RAM 256GB PCIe SSD, carga rápida, Wi-Fi 5, Bluetooth 4.2, HDMI, 9.5 horas de duración de la batería, con batería",4.3,US$539.00,US$609.00US$609.00,(50),Solo queda(n) 1 en stock (hay más unidades en camino).
"Apple Laptop MacBook Air 2020 con chip M1, pantalla Retina de 13 pulgadas, 8 GB de RAM, almacenamiento SSD de 256 GB, teclado retroiluminado, cámara FaceTime HD, Touch ID. Funciona con iPhone/iPad; gris espacial",4.8,,,"(18,579)",
"Lenovo Laptop Ideapad 3 2022, pantalla táctil HD de 15.6 pulgadas, procesador Intel Core i3-1115G4 de 11ª generación, 8 GB de RAM DDR4, SSD PCIe NVMe de 256 GB, HDMI, cámara web, Wi-Fi 5, Bluetooth, Windows 11 Home, almendra",4.4,US$371.88,US$959.00US$959.00,"(2,267)",
Lenovo - 2022 - IdeaPad Flex 5i - Computadora portátil Chromebook 2 en 1 - Intel Core i3-1115G4 - Pantalla táctil FHD de 13.3 pulgadas - Memoria de 8 GB - Almacenamiento de 128 GB - Chrome OS,4.4,US$299.99,US$429.99US$429.99,(808),
Acer Aspire Vero AV15-51-7617 PC verde | Pantalla FHD IPS 100% sRGB de 11ª generación | Intel Core i7-1195G7 | Gráficos Intel Iris Xe | DDR4 de 16 GB | SSD NVMe de 512 GB | Wi-Fi 6 | Materiales de PCR | Vero-Sleeve,4.4,US$509.99,US$574.00US$574.00,(362),
"Acer Nitro 5 AN515-57-79TD - Laptop para videojuegos con Intel Core i7-11800H, NVIDIA GeForce RTX 3050 Ti, pantalla IPS FHD de 15.6 pulgadas, DDR4 de 8 GB, SSD NVMe de 512 GB, Killer Wi-Fi 6, teclado retroiluminado",4.5,US$739.99,US$778.00US$778.00,"(3,778)",
Acer Laptop Aspire 5 A515-45-R74Z Slim | IPS Full HD de 15.6 pulgadas | Procesador móvil AMD Ryzen 5 5500U Hexa-Core | Gráficos AMD Radeon | DDR4 de 8 GB | SSD NVMe de 256 GB | WiFi 6 | KB retroiluminado | Windows 11 Home,4.5,US$399.99,US$529.99US$529.99,"(39,617)",
"Acer Aspire 5 A515-56-32DK - Laptop delgada con procesador Intel Core i3-1115G4 de 11.ª generación, pantalla IPS Full HD de 15,6 pulgadas, memoria DDR4 de 4 GB, unidad de estado sólido SSD NVMe de 128 GB, WiFi 6, teclado retroiluminado, Windows 11 Home (modo S)",4.3,US$269.99,US$379.99US$379.99,"(1,700)",
