Product,Category,Price_Now,Price_Before,Discounts %,Stock,Rating,Voters,Qualification %
"Coolby Laptop con Windows 11 2023, pantalla IPS de 15.6 pulgadas, pantalla IPS de 1920 x 1080, 12 GB DDR4 RAM ,  256 GB SSD, procesador Intel J4125 Quad-Core, compatible con WiFi de 2.4G, 5G, BT, teclado de tamaño completo",COOLBY,319.0,366.0,12.8,Con stock completo,4.4,28.0,88.0
"HP Laptop HD de 14 pulgadas, Intel Celeron N4020 hasta 2.8 GHz, DDR4 de 4 GB, almacenamiento eMMC de 64 GB, WiFi 5, cámara web, HDMI, Windows 10 S, accesorios legendarios (compatible con Google Classroom o Zoom) (azul)",HP,299.99,334.7,10.4,Con stock completo,4.5,2587.0,90.0
"HP [Windows 11 Pro] 15 15.6"" Full HD Business Laptop, AMD 6-Core Ryzen 5 5500U (Beat i7-1160G7), 12GB RAM 256GB PCIe SSD, carga rápida, Wi-Fi 5, Bluetooth 4.2, HDMI, 9.5 horas de duración de la batería, con batería",HP,539.0,592.9,9.1,Solo queda(n) 1 en stock,4.3,50.0,86.0
"Apple Laptop MacBook Air 2020 con chip M1, pantalla Retina de 13 pulgadas, 8 GB de RAM, almacenamiento SSD de 256 GB, teclado retroiluminado, cámara FaceTime HD, Touch ID. Funciona con iPhone, iPad; gris espacial",APPLE,615.73,652.4,5.6,Con stock completo,4.8,18579.0,96.0
"Lenovo Laptop Ideapad 3 2022, pantalla táctil HD de 15.6 pulgadas, procesador Intel Core i3-1115G4 de 11ª generación, 8 GB de RAM DDR4, SSD PCIe NVMe de 256 GB, HDMI, cámara web, Wi-Fi 5, Bluetooth, Windows 11 Home, almendra",LENOVO,371.88,393.3,5.4,Con stock completo,4.4,2267.0,88.0
Lenovo - 2022 - IdeaPad Flex 5i - Computadora portátil Chromebook 2 en 1 - Intel Core i3-1115G4 - Pantalla táctil FHD de 13.3 pulgadas - Memoria de 8 GB - Almacenamiento de 128 GB - Chrome OS,LENOVO,299.99,313.5,4.3,Con stock completo,4.4,808.0,88.0
"Acer Aspire Vero AV15-51-7617 PC verde ,  Pantalla FHD IPS 100% sRGB de 11ª generación ,  Intel Core i7-1195G7 ,  Gráficos Intel Iris Xe ,  DDR4 de 16 GB ,  SSD NVMe de 512 GB ,  Wi-Fi 6 ,  Materiales de PCR ,  Vero-Sleeve",ACER,509.99,550.4,7.3,Con stock completo,4.4,362.0,88.0
"Acer Nitro 5 AN515-57-79TD - Laptop para videojuegos con Intel Core i7-11800H, NVIDIA GeForce RTX 3050 Ti, pantalla IPS FHD de 15.6 pulgadas, DDR4 de 8 GB, SSD NVMe de 512 GB, Killer Wi-Fi 6, teclado retroiluminado",ACER,739.99,790.6,6.4,Con stock completo,4.5,3778.0,90.0
"Acer Laptop Aspire 5 A515-45-R74Z Slim ,  IPS Full HD de 15.6 pulgadas ,  Procesador móvil AMD Ryzen 5 5500U Hexa-Core ,  Gráficos AMD Radeon ,  DDR4 de 8 GB ,  SSD NVMe de 256 GB ,  WiFi 6 ,  KB retroiluminado ,  Windows 11 Home",ACER,399.99,417.0,4.1,Con stock completo,4.5,39617.0,90.0
"Acer Aspire 5 A515-56-32DK - Laptop delgada con procesador Intel Core i3-1115G4 de 11.ª generación, pantalla IPS Full HD de 15,6 pulgadas, memoria DDR4 de 4 GB, unidad de estado sólido SSD NVMe de 128 GB, WiFi 6, teclado retroiluminado, Windows 11 Home (modo S)",ACER,269.99,290.9,7.2,Con stock completo,4.3,1700.0,86.0
"Acer Laptop Chromebook 311 ,  AMD A-Series Dual-Core A4-9120C ,  Pantalla HD de 11.6 pulgadas ,  Gráficos AMD Radeon R4 ,  DDR4 de 4 GB ,  64 GB eMMC ,  802.11ac WiFi 5 ,  Bluetooth 4.2 ,  Chrome OS ,  CB311-10H-42LY",ACER,136.0,164.7,17.4,Con stock completo,4.3,614.0,86.0
"BROAGE Computadora portátil FHD de 15.6 pulgadas, Intel Quad-Core i5-8250U hasta 3.4 GHz, 8 GB de RAM, SSD de 512 GB, WiFi 5G, Ethernet RJ45, HDMI, USB 3.0, HDMI, cámara web, teclado retroiluminado, plata, Windows 10 Home, trabajo remoto",BROAGE,349.0,368.8,5.4,Con stock completo,3.5,89.0,70.0
"Bmax Laptop X14 Pro de 14.1 pulgadas AMD Ryzen 5 3450U (hasta 3.5 GHz) 8 GB DDR4 512 GB SSD Gaming Laptop 1920 x 1080 FHD Computadoras tradicionales delgadas expandibles de 1 TB SSD, HDMI, BT, USB3.0, 2.4G, 5G WiFi",BMAX,419.99,453.7,7.4,Con stock completo,3.8,37.0,76.0
